Date,Category,Index
2014-01-31,PA66,
2014-01-24,PA66,
2014-01-17,PA66,
2014-01-10,PA66,
2014-01-03,PA66,
2014-02-28,PA66,
2014-02-21,PA66,
2014-02-14,PA66,
2014-02-07,PA66,
2014-02-01,PA66,
2014-03-31,PA66,
2014-03-24,PA66,
2014-03-17,PA66,
2014-03-10,PA66,
2014-03-03,PA66,
2014-04-30,PA66,
2014-04-23,PA66,
2014-04-16,PA66,
2014-04-09,PA66,
2014-04-02,PA66,
2014-05-31,PA66,
2014-05-24,PA66,
2014-05-17,PA66,
2014-05-10,PA66,
2014-05-03,PA66,
2014-06-30,PA66,
2014-06-23,PA66,
2014-06-16,PA66,
2014-06-09,PA66,
2014-06-02,PA66,
2014-07-31,PA66,
2014-07-24,PA66,
2014-07-17,PA66,
2014-07-10,PA66,
2014-07-03,PA66,
2014-08-31,PA66,
2014-08-24,PA66,
2014-08-17,PA66,
2014-08-10,PA66,
2014-08-03,PA66,
2014-09-30,PA66,
2014-09-23,PA66,
2014-09-16,PA66,
2014-09-09,PA66,
2014-09-02,PA66,
2014-10-31,PA66,
2014-10-24,PA66,
2014-10-17,PA66,
2014-10-10,PA66,
2014-10-03,PA66,
2014-11-30,PA66,
2014-11-23,PA66,
2014-11-16,PA66,
2014-11-09,PA66,
2014-11-02,PA66,
2014-12-31,PA66,
2014-12-24,PA66,
2014-12-17,PA66,
2014-12-10,PA66,
2014-12-03,PA66,
2015-01-31,PA66,
2015-01-24,PA66,
2015-01-17,PA66,
2015-01-10,PA66,
2015-01-03,PA66,
2015-02-28,PA66,
2015-02-21,PA66,
2015-02-14,PA66,
2015-02-07,PA66,
2015-02-01,PA66,
2015-03-31,PA66,
2015-03-24,PA66,
2015-03-17,PA66,
2015-03-10,PA66,
2015-03-03,PA66,
2015-04-30,PA66,
2015-04-23,PA66,
2015-04-16,PA66,
2015-04-09,PA66,
2015-04-02,PA66,
2015-05-31,PA66,
2015-05-24,PA66,
2015-05-17,PA66,
2015-05-10,PA66,
2015-05-03,PA66,
2015-06-30,PA66,
2015-06-23,PA66,
2015-06-16,PA66,
2015-06-09,PA66,
2015-06-02,PA66,
2015-07-31,PA66,
2015-07-24,PA66,
2015-07-17,PA66,
2015-07-10,PA66,
2015-07-03,PA66,
2015-08-31,PA66,
2015-08-24,PA66,
2015-08-17,PA66,
2015-08-10,PA66,
2015-08-03,PA66,
2015-09-30,PA66,65.3
2015-09-23,PA66,65.3
2015-09-16,PA66,65.7
2015-09-09,PA66,65.3
2015-09-02,PA66,65.3
2015-10-31,PA66,62.16
2015-10-24,PA66,62.94
2015-10-17,PA66,64.52
2015-10-10,PA66,64.52
2015-10-03,PA66,62.16
2015-11-30,PA66,61.37
2015-11-23,PA66,61.37
2015-11-16,PA66,61.76
2015-11-09,PA66,62.16
2015-11-02,PA66,61.37
2015-12-31,PA66,61.37
2015-12-24,PA66,61.37
2015-12-17,PA66,61.37
2015-12-10,PA66,61.37
2015-12-03,PA66,61.37
2016-01-31,PA66,59.8
2016-01-24,PA66,59.6
2016-01-17,PA66,59.6
2016-01-10,PA66,59.6
2016-01-03,PA66,59.8
2016-02-29,PA66,59.6
2016-02-22,PA66,59.8
2016-02-15,PA66,59.8
2016-02-08,PA66,59.6
2016-02-01,PA66,59.6
2016-03-31,PA66,61.96
2016-03-24,PA66,61.57
2016-03-17,PA66,61.17
2016-03-10,PA66,59.6
2016-03-03,PA66,62.35
2016-04-30,PA66,69.43
2016-04-23,PA66,69.43
2016-04-16,PA66,67.47
2016-04-09,PA66,63.53
2016-04-02,PA66,69.43
2016-05-31,PA66,64.52
2016-05-24,PA66,66.09
2016-05-17,PA66,66.09
2016-05-10,PA66,68.84
2016-05-03,PA66,64.32
2016-06-30,PA66,64.32
2016-06-23,PA66,64.32
2016-06-16,PA66,64.32
2016-06-09,PA66,67.07
2016-06-02,PA66,64.32
2016-07-31,PA66,68.45
2016-07-24,PA66,67.27
2016-07-17,PA66,67.07
2016-07-10,PA66,67.07
2016-07-03,PA66,69.63
2016-08-31,PA66,75.33
2016-08-24,PA66,75.33
2016-08-17,PA66,74.74
2016-08-10,PA66,73.96
2016-08-03,PA66,75.45
2016-09-30,PA66,70.73
2016-09-23,PA66,71.83
2016-09-16,PA66,72.62
2016-09-09,PA66,73.96
2016-09-02,PA66,70.73
2016-10-31,PA66,71.6
2016-10-24,PA66,71.2
2016-10-17,PA66,70.73
2016-10-10,PA66,70.73
2016-10-03,PA66,72.23
2016-11-30,PA66,76.24
2016-11-23,PA66,74.98
2016-11-16,PA66,74.19
2016-11-09,PA66,79.31
2016-11-02,PA66,76.55
2016-12-31,PA66,92.45
2016-12-24,PA66,84.97
2016-12-17,PA66,84.19
2016-12-10,PA66,79.31
2016-12-03,PA66,92.45
2017-01-31,PA66,95.12
2017-01-24,PA66,95.12
2017-01-17,PA66,94.34
2017-01-10,PA66,92.84
2017-01-03,PA66,95.12
2017-02-28,PA66,100.0
2017-02-21,PA66,98.98
2017-02-14,PA66,96.62
2017-02-07,PA66,99.92
2017-02-01,PA66,100.0
2017-03-31,PA66,92.29
2017-03-24,PA66,95.04
2017-03-17,PA66,97.72
2017-03-10,PA66,98.19
2017-03-03,PA66,92.21
2017-04-30,PA66,86.55
2017-04-23,PA66,91.42
2017-04-16,PA66,92.21
2017-04-09,PA66,92.21
2017-04-02,PA66,86.15
2017-05-31,PA66,79.7
2017-05-24,PA66,80.65
2017-05-17,PA66,81.51
2017-05-10,PA66,76.95
2017-05-03,PA66,78.91
2017-06-30,PA66,78.13
2017-06-23,PA66,77.58
2017-06-16,PA66,77.58
2017-06-09,PA66,76.95
2017-06-02,PA66,78.13
2017-07-31,PA66,84.42
2017-07-24,PA66,81.43
2017-07-17,PA66,78.36
2017-07-10,PA66,78.21
2017-07-03,PA66,84.42
2017-08-31,PA66,83.08
2017-08-24,PA66,84.58
2017-08-17,PA66,84.34
2017-08-10,PA66,84.74
2017-08-03,PA66,83.08
2017-09-30,PA66,90.01
2017-09-23,PA66,87.49
2017-09-16,PA66,85.37
2017-09-09,PA66,84.82
2017-09-02,PA66,90.01
2017-10-31,PA66,98.43
2017-10-24,PA66,95.91
2017-10-17,PA66,95.91
2017-10-10,PA66,92.45
2017-10-03,PA66,98.19
2017-11-30,PA66,98.74
2017-11-23,PA66,98.74
2017-11-16,PA66,98.51
2017-11-09,PA66,98.9
2017-11-02,PA66,98.9
2017-12-31,PA66,100.55
2017-12-24,PA66,99.29
2017-12-17,PA66,99.29
2017-12-10,PA66,98.9
2017-12-03,PA66,100.94
2018-01-31,PA66,108.73
2018-01-24,PA66,102.91
2018-01-17,PA66,102.91
2018-01-10,PA66,114.08
2018-01-03,PA66,109.52
2018-02-28,PA66,121.95
2018-02-21,PA66,114.08
2018-02-14,PA66,114.08
2018-02-07,PA66,122.74
2018-02-01,PA66,121.56
2018-03-31,PA66,127.07
2018-03-24,PA66,127.07
2018-03-17,PA66,125.89
2018-03-10,PA66,124.7
2018-03-03,PA66,127.07
2018-04-30,PA66,127.07
2018-04-23,PA66,127.07
2018-04-16,PA66,127.07
2018-04-09,PA66,127.07
2018-04-02,PA66,127.07
2018-05-31,PA66,127.07
2018-05-24,PA66,127.07
2018-05-17,PA66,127.07
2018-05-10,PA66,127.07
2018-05-03,PA66,127.07
2018-06-30,PA66,129.82
2018-06-23,PA66,127.07
2018-06-16,PA66,127.07
2018-06-09,PA66,127.07
2018-06-02,PA66,129.82
2018-07-31,PA66,128.25
2018-07-24,PA66,128.25
2018-07-17,PA66,128.25
2018-07-10,PA66,128.25
2018-07-03,PA66,128.25
2018-08-31,PA66,
2018-08-24,PA66,146.54
2018-08-17,PA66,142.93
2018-08-10,PA66,133.43
2018-08-03,PA66,
2018-09-30,PA66,
2018-09-23,PA66,
2018-09-16,PA66,
2018-09-09,PA66,
2018-09-02,PA66,
2018-10-31,PA66,
2018-10-24,PA66,
2018-10-17,PA66,
2018-10-10,PA66,
2018-10-03,PA66,
2018-11-30,PA66,
2018-11-23,PA66,
2018-11-16,PA66,
2018-11-09,PA66,
2018-11-02,PA66,
2018-12-31,PA66,
2018-12-24,PA66,
2018-12-17,PA66,
2018-12-10,PA66,
2018-12-03,PA66,
2014-01-31,HDPE,96.66
2014-01-24,HDPE,96.66
2014-01-17,HDPE,96.66
2014-01-10,HDPE,97.16
2014-01-03,HDPE,96.66
2014-02-28,HDPE,94.63
2014-02-21,HDPE,94.83
2014-02-14,HDPE,95.85
2014-02-07,HDPE,94.73
2014-02-01,HDPE,94.63
2014-03-31,HDPE,95.24
2014-03-24,HDPE,94.63
2014-03-17,HDPE,94.22
2014-03-10,HDPE,94.43
2014-03-03,HDPE,95.44
2014-04-30,HDPE,98.38
2014-04-23,HDPE,98.07
2014-04-16,HDPE,98.07
2014-04-09,HDPE,98.99
2014-04-02,HDPE,98.38
2014-05-31,HDPE,98.68
2014-05-24,HDPE,98.68
2014-05-17,HDPE,98.99
2014-05-10,HDPE,98.99
2014-05-03,HDPE,98.89
2014-06-30,HDPE,101.22
2014-06-23,HDPE,100.81
2014-06-16,HDPE,100.61
2014-06-09,HDPE,99.8
2014-06-02,HDPE,101.22
2014-07-31,HDPE,102.13
2014-07-24,HDPE,102.33
2014-07-17,HDPE,102.03
2014-07-10,HDPE,101.72
2014-07-03,HDPE,102.13
2014-08-31,HDPE,99.59
2014-08-24,HDPE,99.8
2014-08-17,HDPE,100.51
2014-08-10,HDPE,101.52
2014-08-03,HDPE,99.39
2014-09-30,HDPE,98.18
2014-09-23,HDPE,98.18
2014-09-16,HDPE,98.78
2014-09-09,HDPE,98.18
2014-09-02,HDPE,98.18
2014-10-31,HDPE,96.05
2014-10-24,HDPE,95.64
2014-10-17,HDPE,96.66
2014-10-10,HDPE,98.18
2014-10-03,HDPE,96.45
2014-11-30,HDPE,96.25
2014-11-23,HDPE,96.25
2014-11-16,HDPE,96.25
2014-11-09,HDPE,96.45
2014-11-02,HDPE,95.64
2014-12-31,HDPE,86.73
2014-12-24,HDPE,85.92
2014-12-17,HDPE,86.32
2014-12-10,HDPE,81.05
2014-12-03,HDPE,86.73
2015-01-31,HDPE,75.38
2015-01-24,HDPE,78.22
2015-01-17,HDPE,78.82
2015-01-10,HDPE,81.05
2015-01-03,HDPE,74.97
2015-02-28,HDPE,75.99
2015-02-21,HDPE,75.38
2015-02-14,HDPE,75.38
2015-02-07,HDPE,79.84
2015-02-01,HDPE,75.99
2015-03-31,HDPE,81.86
2015-03-24,HDPE,79.64
2015-03-17,HDPE,78.22
2015-03-10,HDPE,80.04
2015-03-03,HDPE,83.28
2015-04-30,HDPE,90.37
2015-04-23,HDPE,88.15
2015-04-16,HDPE,86.93
2015-04-09,HDPE,92.2
2015-04-02,HDPE,90.37
2015-05-31,HDPE,91.19
2015-05-24,HDPE,90.78
2015-05-17,HDPE,91.79
2015-05-10,HDPE,92.2
2015-05-03,HDPE,90.78
2015-06-30,HDPE,88.75
2015-06-23,HDPE,88.75
2015-06-16,HDPE,89.16
2015-06-09,HDPE,88.75
2015-06-02,HDPE,88.96
2015-07-31,HDPE,85.21
2015-07-24,HDPE,86.02
2015-07-17,HDPE,87.94
2015-07-10,HDPE,88.15
2015-07-03,HDPE,85.21
2015-08-31,HDPE,81.16
2015-08-24,HDPE,82.27
2015-08-17,HDPE,83.18
2015-08-10,HDPE,83.79
2015-08-03,HDPE,81.76
2015-09-30,HDPE,77.61
2015-09-23,HDPE,77.61
2015-09-16,HDPE,79.74
2015-09-09,HDPE,77.41
2015-09-02,HDPE,77.61
2015-10-31,HDPE,74.67
2015-10-24,HDPE,75.38
2015-10-17,HDPE,77.51
2015-10-10,HDPE,77.41
2015-10-03,HDPE,74.87
2015-11-30,HDPE,71.63
2015-11-23,HDPE,72.44
2015-11-16,HDPE,72.64
2015-11-09,HDPE,74.57
2015-11-02,HDPE,72.14
2015-12-31,HDPE,73.86
2015-12-24,HDPE,72.24
2015-12-17,HDPE,72.04
2015-12-10,HDPE,72.54
2015-12-03,HDPE,73.86
2016-01-31,HDPE,73.86
2016-01-24,HDPE,73.56
2016-01-17,HDPE,74.57
2016-01-10,HDPE,75.58
2016-01-03,HDPE,73.86
2016-02-29,HDPE,74.06
2016-02-22,HDPE,74.27
2016-02-15,HDPE,74.06
2016-02-08,HDPE,74.87
2016-02-01,HDPE,74.06
2016-03-31,HDPE,78.82
2016-03-24,HDPE,77.61
2016-03-17,HDPE,75.58
2016-03-10,HDPE,75.18
2016-03-03,HDPE,78.82
2016-04-30,HDPE,77.91
2016-04-23,HDPE,77.91
2016-04-16,HDPE,80.65
2016-04-09,HDPE,80.95
2016-04-02,HDPE,77.91
2016-05-31,HDPE,76.8
2016-05-24,HDPE,77.0
2016-05-17,HDPE,77.1
2016-05-10,HDPE,77.81
2016-05-03,HDPE,77.0
2016-06-30,HDPE,78.42
2016-06-23,HDPE,77.91
2016-06-16,HDPE,77.51
2016-06-09,HDPE,80.14
2016-06-02,HDPE,78.72
2016-07-31,HDPE,79.74
2016-07-24,HDPE,79.74
2016-07-17,HDPE,80.04
2016-07-10,HDPE,80.14
2016-07-03,HDPE,80.24
2016-08-31,HDPE,81.36
2016-08-24,HDPE,81.16
2016-08-17,HDPE,80.95
2016-08-10,HDPE,81.76
2016-08-03,HDPE,81.36
2016-09-30,HDPE,80.65
2016-09-23,HDPE,80.55
2016-09-16,HDPE,81.66
2016-09-09,HDPE,81.76
2016-09-02,HDPE,80.65
2016-10-31,HDPE,82.88
2016-10-24,HDPE,82.67
2016-10-17,HDPE,82.67
2016-10-10,HDPE,80.85
2016-10-03,HDPE,84.5
2016-11-30,HDPE,84.3
2016-11-23,HDPE,84.6
2016-11-16,HDPE,85.11
2016-11-09,HDPE,83.08
2016-11-02,HDPE,84.3
2016-12-31,HDPE,83.99
2016-12-24,HDPE,84.3
2016-12-17,HDPE,84.09
2016-12-10,HDPE,83.08
2016-12-03,HDPE,83.99
2017-01-31,HDPE,83.08
2017-01-24,HDPE,83.08
2017-01-17,HDPE,83.08
2017-01-10,HDPE,83.28
2017-01-03,HDPE,83.08
2017-02-28,HDPE,84.7
2017-02-21,HDPE,85.11
2017-02-14,HDPE,84.8
2017-02-07,HDPE,83.08
2017-02-01,HDPE,84.7
2017-03-31,HDPE,82.98
2017-03-24,HDPE,82.78
2017-03-17,HDPE,82.67
2017-03-10,HDPE,82.88
2017-03-03,HDPE,82.98
2017-04-30,HDPE,85.11
2017-04-23,HDPE,86.02
2017-04-16,HDPE,86.32
2017-04-09,HDPE,83.69
2017-04-02,HDPE,84.9
2017-05-31,HDPE,84.5
2017-05-24,HDPE,84.5
2017-05-17,HDPE,83.69
2017-05-10,HDPE,83.89
2017-05-03,HDPE,84.7
2017-06-30,HDPE,81.22
2017-06-23,HDPE,82.27
2017-06-16,HDPE,83.24
2017-06-09,HDPE,83.89
2017-06-02,HDPE,81.22
2017-07-31,HDPE,82.19
2017-07-24,HDPE,82.19
2017-07-17,HDPE,81.78
2017-07-10,HDPE,81.78
2017-07-03,HDPE,82.19
2017-08-31,HDPE,81.7
2017-08-24,HDPE,81.38
2017-08-17,HDPE,82.03
2017-08-10,HDPE,82.19
2017-08-03,HDPE,81.95
2017-09-30,HDPE,80.97
2017-09-23,HDPE,81.13
2017-09-16,HDPE,82.59
2017-09-09,HDPE,83.08
2017-09-02,HDPE,80.97
2017-10-31,HDPE,81.95
2017-10-24,HDPE,81.38
2017-10-17,HDPE,81.05
2017-10-10,HDPE,80.97
2017-10-03,HDPE,82.59
2017-11-30,HDPE,84.3
2017-11-23,HDPE,84.13
2017-11-16,HDPE,83.24
2017-11-09,HDPE,86.08
2017-11-02,HDPE,84.62
2017-12-31,HDPE,87.38
2017-12-24,HDPE,87.38
2017-12-17,HDPE,86.89
2017-12-10,HDPE,86.08
2017-12-03,HDPE,87.7
2018-01-31,HDPE,87.86
2018-01-24,HDPE,87.94
2018-01-17,HDPE,87.86
2018-01-10,HDPE,87.86
2018-01-03,HDPE,87.86
2018-02-28,HDPE,88.19
2018-02-21,HDPE,87.7
2018-02-14,HDPE,87.7
2018-02-07,HDPE,87.38
2018-02-01,HDPE,88.19
2018-03-31,HDPE,86.24
2018-03-24,HDPE,85.84
2018-03-17,HDPE,86.24
2018-03-10,HDPE,87.38
2018-03-03,HDPE,86.81
2018-04-30,HDPE,92.32
2018-04-23,HDPE,92.32
2018-04-16,HDPE,90.86
2018-04-09,HDPE,87.94
2018-04-02,HDPE,92.48
2018-05-31,HDPE,94.43
2018-05-24,HDPE,94.75
2018-05-17,HDPE,94.99
2018-05-10,HDPE,94.27
2018-05-03,HDPE,94.27
2018-06-30,HDPE,91.35
2018-06-23,HDPE,92.97
2018-06-16,HDPE,93.45
2018-06-09,HDPE,93.86
2018-06-02,HDPE,91.02
2018-07-31,HDPE,91.35
2018-07-24,HDPE,90.21
2018-07-17,HDPE,89.97
2018-07-10,HDPE,90.29
2018-07-03,HDPE,92.56
2018-08-31,HDPE,
2018-08-24,HDPE,92.4
2018-08-17,HDPE,93.54
2018-08-10,HDPE,93.21
2018-08-03,HDPE,
2018-09-30,HDPE,
2018-09-23,HDPE,
2018-09-16,HDPE,
2018-09-09,HDPE,
2018-09-02,HDPE,
2018-10-31,HDPE,
2018-10-24,HDPE,
2018-10-17,HDPE,
2018-10-10,HDPE,
2018-10-03,HDPE,
2018-11-30,HDPE,
2018-11-23,HDPE,
2018-11-16,HDPE,
2018-11-09,HDPE,
2018-11-02,HDPE,
2018-12-31,HDPE,
2018-12-24,HDPE,
2018-12-17,HDPE,
2018-12-10,HDPE,
2018-12-03,HDPE,
2014-01-31,PA6,68.33
2014-01-24,PA6,68.33
2014-01-17,PA6,68.67
2014-01-10,PA6,68.67
2014-01-03,PA6,68.33
2014-02-28,PA6,68.5
2014-02-21,PA6,68.67
2014-02-14,PA6,68.33
2014-02-07,PA6,68.5
2014-02-01,PA6,68.5
2014-03-31,PA6,68.17
2014-03-24,PA6,68.33
2014-03-17,PA6,68.33
2014-03-10,PA6,68.5
2014-03-03,PA6,68.83
2014-04-30,PA6,69.83
2014-04-23,PA6,69.83
2014-04-16,PA6,69.5
2014-04-09,PA6,69.83
2014-04-02,PA6,69.83
2014-05-31,PA6,69.67
2014-05-24,PA6,69.67
2014-05-17,PA6,69.67
2014-05-10,PA6,69.83
2014-05-03,PA6,69.67
2014-06-30,PA6,69.17
2014-06-23,PA6,69.33
2014-06-16,PA6,69.33
2014-06-09,PA6,69.5
2014-06-02,PA6,69.17
2014-07-31,PA6,69.17
2014-07-24,PA6,69.17
2014-07-17,PA6,69.17
2014-07-10,PA6,69.33
2014-07-03,PA6,69.17
2014-08-31,PA6,68.0
2014-08-24,PA6,67.83
2014-08-17,PA6,68.0
2014-08-10,PA6,68.33
